Complaint,DateOccur,Crime,Description,ILEADSAddress,ILEADSStreet,Generic Crime,Latitude,Longitude
20-054539,7/15/2020 12:00,112010,FRAUD-CREDIT DEVICE/OVER $150                     ,5723,CLEMENS AVE,Fraud,38.6568928,-90.2901921
20-056743,8/1/2019 0:00,91113,SIMPLE ASSAULT-ADULT/NO INJURY                    ,3026,,Simple Assault,38.6270025,-90.1994042
20-034005,8/1/2020 13:09,142320,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP       ,1171,HAMILTON,Destruction of Property,38.6270025,-90.1994042
20-050847,8/3/2020 1:05,266999,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION      ,111,N 15TH,Other Crime,38.6210756,-90.205214
20-056373,8/6/2020 3:00,71013,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR           ,2925,OLIVE,Motor Vehicle Theft,38.6270025,-90.1994042
20-036291,8/11/2020 23:30,71013,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR           ,1314,GRAVOIS,Motor Vehicle Theft,38.5895694,-90.255657
20-036840,8/15/2020 18:45,241100,DISORDERLY CONDUCT-PEACE DSTRB/INDIVIDUAL         ,19,,Other Crime,38.6626909,-90.202599
20-057336,8/18/2020 12:00,65701,LARCENY-MTR VEH PARTS UNDER $500                  ,8508,TRAFFORD,Larceny,38.7164292,-90.2500328
20-046860,8/18/2020 12:00,44025,ASLT-AGGRV-HND/FST/FT-2ND-CHILD-DOMESTIC          ,3919,LABADIE AVE,Other Assault,38.6690046,-90.2487651
20-037001,8/18/2020 15:30,67701,LARCENY-FROM BUILDING UNDER $500                  ,4024,PLEASANT,Larceny,38.6270025,-90.1994042
20-038064,8/23/2020 22:39,152200,WEAPONS-CITY VIOL/DISCHRGING IN CITY              ,4537,MARY AVE,Weapons Offense,38.6724482,-90.2204412
20-038478,8/25/2020 20:00,152200,WEAPONS-CITY VIOL/DISCHRGING IN CITY              ,2801,KINGSHIGHWAY,Weapons Offense,38.6688592,-90.2570703
20-038455,8/26/2020 10:05,152200,WEAPONS-CITY VIOL/DISCHRGING IN CITY              ,4808,MAFFITT,Weapons Offense,38.6669359,-90.2493849
20-053514,8/26/2020 20:19,21000,RAPE -- FORCIBLE                                  ,3,S GRAND BLVD,Rape,38.598089,-90.2429759
