Complaint,DateOccur,Crime,Description,ILEADSAddress,ILEADSStreet,Generic Crime,Latitude,Longitude
20-054904,12/5/2020 18:25,265321,LEAVING SCENE OF ACCIDENT                         ,nan,FOREST PARK AVE / S KINGSHIGHW,Other Crime,38.6395691,-90.2655481
20-054909,12/5/2020 18:29,265321,LEAVING SCENE OF ACCIDENT                         ,nan,N BROADWAY / E CARRIE AVE,Other Crime,38.6776694,-90.2074219
20-054924,12/5/2020 18:43,69602,"LARCENY-ALL OTHER $500 - $24,999                  ",3459,CHIPPEWA ST,Larceny,38.5907427,-90.2668441
20-054910,12/5/2020 18:55,41011,AGG.ASSAULT-FIREARM/CITIZEN ADULT 1ST DEGREE      ,7517,ALASKA AVE,Aggravated Assault,38.5609615,-90.2567258
20-054910,12/5/2020 18:55,41011,AGG.ASSAULT-FIREARM/CITIZEN ADULT 1ST DEGREE      ,7517,ALASKA AVE,Aggravated Assault,38.5609615,-90.2567258
20-054920,12/5/2020 19:00,41011,AGG.ASSAULT-FIREARM/CITIZEN ADULT 1ST DEGREE      ,nan,ARLINGTON AVE / HARNEY AVE,Aggravated Assault,38.5959446,-90.3291612
20-055450,12/5/2020 19:00,65701,LARCENY-MTR VEH PARTS UNDER $500                  ,4262,WYOMING,Larceny,38.6270025,-90.1994042
20-054917,12/5/2020 19:00,91114,"ASSAULT, ADULT, AGE 17 AND UP-DOMESTIC            ",4907,NORTHLAND PL,Other Crime,38.6683456,-90.2558547
20-054914,12/5/2020 19:05,32421,ROBBERY-RESIDENCE/STRNGARM/NO INJ/SUCCESS         ,5002,ROBIN AVE,Robbery,38.7032217,-90.2463063
20-054916,12/5/2020 19:25,67711,LARCENY-FROM BUILDING UNDER $500/ATTEMPT          ,231,MCCAUSLAND AVE,Larceny,38.6087681,-90.3111937
20-055191,12/5/2020 19:30,64701,LARCENY-FROM MTR VEH UNDER $500                   ,11,17TH,Larceny,38.6270025,-90.1994042
20-055293,12/5/2020 20:00,71040,AUTO THEFT-PERM RETNT/ATTEMPT                     ,3954,DOVER,Motor Vehicle Theft,38.5672767,-90.256909
20-054977,12/5/2020 20:00,64711,LARCENY-FROM MTR VEH UNDER $500  /ATTEMPT         ,nan,N COLLINS ST / LACLEDES LANDIN,Larceny,38.6314778,-90.1849554
20-054937,12/5/2020 20:40,142320,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP       ,3238,DR MARTIN LUTHER KING DR,Destruction of Property,38.6314715,-90.1830359
20-055008,12/5/2020 21:00,142320,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP       ,6165,ALASKA AVE,Destruction of Property,38.5609615,-90.2567258
20-054938,12/5/2020 21:00,130000,"STOLEN PROPERTY-BUYING,RECEIVING,POSSESSING,ET    ",27,BURD AVE,Other Crime,38.671211,-90.2731458
20-054928,12/5/2020 21:00,51212,BURGLARY-RESIDENCE/NIT/FORCE ENT/UNOCCUPIED       ,3625,LIERMANN AVE,Burglary,38.5844484,-90.2468835
20-054925,12/5/2020 21:04,71013,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR           ,13,N TUCKER BLVD,Motor Vehicle Theft,38.6342612,-90.1957107
20-054927,12/5/2020 21:14,265321,LEAVING SCENE OF ACCIDENT                         ,nan,S GRAND BLVD / LAFAYETTE AVE,Other Crime,38.617071,-90.239268
20-054932,12/5/2020 21:30,142320,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP       ,1437,PARK AVE,Destruction of Property,38.6188804,-90.2248098
20-054930,12/5/2020 21:42,142320,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP       ,1445,DODIER ST,Destruction of Property,38.654755,-90.2104088
20-054940,12/5/2020 22:00,41011,AGG.ASSAULT-FIREARM/CITIZEN ADULT 1ST DEGREE      ,3269,MORGANFORD RD,Aggravated Assault,38.5757848,-90.26932
20-054940,12/5/2020 22:00,41011,AGG.ASSAULT-FIREARM/CITIZEN ADULT 1ST DEGREE      ,3269,MORGANFORD RD,Aggravated Assault,38.5757848,-90.26932
20-054940,12/5/2020 22:00,41011,AGG.ASSAULT-FIREARM/CITIZEN ADULT 1ST DEGREE      ,3269,MORGANFORD RD,Aggravated Assault,38.5757848,-90.26932
20-055015,12/5/2020 22:00,142320,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP       ,3949,MAGNOLIA AVE,Destruction of Property,38.6088916,-90.2684481
20-055565,12/5/2020 22:00,51322,BURGLARY-RESDNCE/UNK TIM/UNLW EN/UNOCCUPIED       ,5248,NEOSHO,Burglary,38.6270025,-90.1994042
20-054985,12/5/2020 22:30,64601,"LARCENY-FROM MTR VEH $500 - $24,999               ",455,FOREST PARK AVE,Larceny,38.6360934,-90.2480285
20-054933,12/5/2020 22:33,265321,LEAVING SCENE OF ACCIDENT                         ,nan,N KINGSHIGHWAY BLVD / NATURAL,Other Crime,38.6688592,-90.2570703
20-054934,12/5/2020 22:36,263299,OBSTRUCT GOVRN OP-JUDIC/OTHR UNSPC JUDIC VIOL     ,53,S COMPTON AVE,Other Crime,38.5969205,-90.2364301
20-055929,12/5/2020 22:52,69702,LARCENY-ALL OTHER UNDER $500                      ,1042,HORNSBY,Larceny,38.7191581,-90.236952
20-055452,12/5/2020 23:30,67701,LARCENY-FROM BUILDING UNDER $500                  ,1,PARKVIEW,Larceny,38.5672109,-90.2944782
20-054948,12/6/2020 0:01,265321,LEAVING SCENE OF ACCIDENT                         ,nan,N 4TH ST / WASHINGTON AVE,Other Crime,38.6297352,-90.1870055
20-054950,12/6/2020 0:05,43015,ASSLT-AGGRAV-OTH-WPN-2ND-ADULT-DOMESTIC           ,2205,ANGELICA ST,Other Assault,38.6666467,-90.199879
20-054946,12/6/2020 0:17,38111,ROBBERY CARJACKING /FIREARM USED/SUCCESSFUL       ,999,N 2ND ST,Armed Robbery,38.6561584,-90.1911125
02-054946,12/6/2020 0:17,38111,ROBBERY CARJACKING /FIREARM USED/SUCCESSFUL       ,999,2ND,Armed Robbery,38.6270025,-90.1994042
20-055244,12/6/2020 0:25,152200,WEAPONS-CITY VIOL/DISCHRGING IN CITY              ,911,LOCUST,Weapons Offense,38.6270025,-90.1994042
20-054965,12/6/2020 0:45,64701,LARCENY-FROM MTR VEH UNDER $500                   ,4567,WEST PINE BLVD,Larceny,38.640156,-90.2541468
20-054951,12/6/2020 0:46,265321,LEAVING SCENE OF ACCIDENT                         ,nan,NATURAL BRIDGE AVE / UNION BLV,Other Crime,38.6792552,-90.2582637
20-054958,12/6/2020 0:48,41011,AGG.ASSAULT-FIREARM/CITIZEN ADULT 1ST DEGREE      ,2534,N GRAND BLVD,Aggravated Assault,38.6517295,-90.2234957
20-054991,12/6/2020 1:00,64701,LARCENY-FROM MTR VEH UNDER $500                   ,5653,DR MARTIN LUTHER KING DR,Larceny,38.6314715,-90.1830359
20-055098,12/6/2020 1:00,71013,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR           ,4005,ASHLAND,Motor Vehicle Theft,38.6710108,-90.2457429
20-054993,12/6/2020 1:00,71013,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR           ,1405,PINE ST,Motor Vehicle Theft,38.6301137,-90.2032729
20-054954,12/6/2020 1:00,91114,"ASSAULT, ADULT, AGE 17 AND UP-DOMESTIC            ",3136,CALIFORNIA AVE,Other Crime,38.5996382,-90.2288217
20-054955,12/6/2020 1:02,31111,ROBBERY-HIGHWAY  /FIREARM USED/SUCCESSFUL         ,2915,UNIVERSITY ST,Weapons Offense,38.6543192,-90.2129378
20-054989,12/6/2020 1:10,43015,ASSLT-AGGRAV-OTH-WPN-2ND-ADULT-DOMESTIC           ,3022,TEXAS AVE,Other Assault,38.6003409,-90.2252118
20-054952,12/6/2020 1:14,130000,"STOLEN PROPERTY-BUYING,RECEIVING,POSSESSING,ET    ",844,CANAAN AVE,Other Crime,38.7207196,-90.2344729
20-054953,12/6/2020 1:21,71013,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR           ,2114,N 10TH ST,Motor Vehicle Theft,38.6395646,-90.1909485
20-054956,12/6/2020 1:25,265321,LEAVING SCENE OF ACCIDENT                         ,5325,VIRGINIA AVE,Other Crime,38.5823205,-90.2405873
20-054960,12/6/2020 2:00,91113,SIMPLE ASSAULT-ADULT/NO INJURY                    ,4526,PENNSYLVANIA AVE,Simple Assault,38.5799626,-90.2363938
20-055053,12/6/2020 2:00,71013,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR           ,4435,S GRAND BLVD,Motor Vehicle Theft,38.598089,-90.2429759
20-054959,12/6/2020 2:15,91113,SIMPLE ASSAULT-ADULT/NO INJURY                    ,26,CHOUTEAU AVE,Simple Assault,38.6237125,-90.2257213
20-054962,12/6/2020 2:15,265321,LEAVING SCENE OF ACCIDENT                         ,nan,N FLORISSANT AVE / SAINT LOUIS,Other Crime,38.6557483,-90.2029377
20-054961,12/6/2020 2:20,265321,LEAVING SCENE OF ACCIDENT                         ,nan,38 64WB,Other Crime,38.6270025,-90.1994042
20-054963,12/6/2020 2:30,241100,DISORDERLY CONDUCT-PEACE DSTRB/INDIVIDUAL         ,6174,LALITE AVE,Other Crime,38.7033027,-90.2601121
20-055140,12/6/2020 2:48,152200,WEAPONS-CITY VIOL/DISCHRGING IN CITY              ,56,GREER,Weapons Offense,38.6589518,-90.2230546
20-055007,12/6/2020 4:00,21000,RAPE -- FORCIBLE                                  ,46,BESSIE AVE,Rape,38.678636,-90.2383113
20-054967,12/6/2020 4:24,65711,LARCENY-MTR VEH PARTS UNDER $500 /ATTEMPT         ,4115,MCPHERSON AVE,Larceny,38.644206,-90.2513532
20-054971,12/6/2020 5:40,10000,HOMICIDE                                          ,441,GRAVOIS AVE,Homicide,38.5895694,-90.255657
20-054971,12/6/2020 5:40,10000,HOMICIDE                                          ,441,GRAVOIS AVE,Homicide,38.5895694,-90.255657
20-054971,12/6/2020 5:40,43203,AGG.ASSAULT-OTH DANG WEP/POL OFFC 3RD DEGREE      ,441,GRAVOIS AVE,Other Assault,38.5895694,-90.255657
20-055011,12/6/2020 6:00,142320,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP       ,815,COLE ST,Destruction of Property,38.6366207,-90.2014751
20-054973,12/6/2020 6:00,142320,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP       ,3657,GASCONADE ST,Destruction of Property,38.5820451,-90.238312
20-054975,12/6/2020 8:00,91114,"ASSAULT, ADULT, AGE 17 AND UP-DOMESTIC            ",26,BURD AVE,Other Crime,38.671211,-90.2731458
20-054979,12/6/2020 8:45,142320,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP       ,1656,MCLARAN AVE,Destruction of Property,38.719715,-90.2537405
20-054978,12/6/2020 9:30,151110,WEAPONS-STATE VIOL/UNLWFL USE/POSSESSION          ,2828,N EUCLID AVE,Weapons Offense,38.6677728,-90.2544993
20-054986,12/6/2020 10:00,91113,SIMPLE ASSAULT-ADULT/NO INJURY                    ,42,CHIPPEWA ST,Simple Assault,38.5907427,-90.2668441
20-054986,12/6/2020 10:00,91113,SIMPLE ASSAULT-ADULT/NO INJURY                    ,42,CHIPPEWA ST,Simple Assault,38.5907427,-90.2668441
20-055998,12/6/2020 10:00,51312,BURGLARY-RESDNCE/UNK TIM/FORC ENT/UNOCCUPIED      ,2019,GRAND,Burglary,38.598089,-90.2429759
20-054987,12/6/2020 10:05,43014,ASSLT-AGGRAV-OTH-WPN-1ST-ADULT-DOMESTIC           ,3616,NATURAL BRIDGE AVE,Other Assault,38.6729704,-90.2438021
20-054984,12/6/2020 10:18,51112,BURGLARY-RESIDENCE/DAY/FORCE ENT/UNOCCUPIED       ,5828,LINDENWOOD AVE,Burglary,38.5942809,-90.2939794
20-054990,12/6/2020 10:30,41013,AGG.ASSAULT-FIREARM/CITIZEN ADULT 3RD DEGREE      ,4295,KOSSUTH AVE,Aggravated Assault,38.670959,-90.2283457
20-055190,12/6/2020 10:30,64711,LARCENY-FROM MTR VEH UNDER $500  /ATTEMPT         ,92,TAYLOR,Larceny,38.6270025,-90.1994042
20-055040,12/6/2020 11:00,64701,LARCENY-FROM MTR VEH UNDER $500                   ,3432,MIAMI ST,Larceny,38.5927562,-90.2517375
20-054992,12/6/2020 11:00,71013,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR           ,4452,ELMBANK AVE,Motor Vehicle Theft,38.6838007,-90.2746542
20-055487,12/6/2020 12:15,65711,LARCENY-MTR VEH PARTS UNDER $500 /ATTEMPT         ,461,CHIPPEWA,Larceny,38.6270025,-90.1994042
20-055578,12/6/2020 12:30,69702,LARCENY-ALL OTHER UNDER $500                      ,3622,BROADWAY,Larceny,38.5431081,-90.262614
20-054994,12/6/2020 12:40,266510,PUBLIC ORDER-TRESPASSING                          ,209,WALNUT ST,Other Crime,38.6259278,-90.1958971
20-055002,12/6/2020 12:41,67601,"LARCENY-FROM BUILDING $500 - $24,999              ",1225,UNION BLVD,Larceny,38.6717171,-90.263532
20-054999,12/6/2020 12:45,265321,LEAVING SCENE OF ACCIDENT                         ,nan,I 70 EASTBOUND / UNION BLVD,Other Crime,38.6717171,-90.263532
20-055150,12/6/2020 14:00,64701,LARCENY-FROM MTR VEH UNDER $500                   ,3942,FLAD,Larceny,38.6125047,-90.2527793
20-055247,12/6/2020 14:00,65601,"LARCENY-MTR VEH PARTS $500 - $24,999              ",6353,MANCHESTER,Larceny,38.5969977,-90.5092882
20-055037,12/6/2020 14:00,51112,BURGLARY-RESIDENCE/DAY/FORCE ENT/UNOCCUPIED       ,4106,FOLSOM AVE,Burglary,38.6207657,-90.248506
20-055021,12/6/2020 14:30,64711,LARCENY-FROM MTR VEH UNDER $500  /ATTEMPT         ,nan,BATES ST / LOUISIANA AVE,Larceny,38.5675754,-90.2525455
20-056204,12/6/2020 15:00,65601,"LARCENY-MTR VEH PARTS $500 - $24,999              ",561,ENRIGHT,Larceny,38.6531035,-90.2669372
20-055025,12/6/2020 15:10,91123,SIMPLE ASSAULT-CHILD/NO INJURY                    ,3702,MERAMEC ST,Simple Assault,38.5830706,-90.2485453
20-055025,12/6/2020 15:10,41013,AGG.ASSAULT-FIREARM/CITIZEN ADULT 3RD DEGREE      ,3702,MERAMEC ST,Aggravated Assault,38.5830706,-90.2485453
20-055259,12/6/2020 15:11,152200,WEAPONS-CITY VIOL/DISCHRGING IN CITY              ,4328,ASHLAND,Weapons Offense,38.6710108,-90.2457429
20-055010,12/6/2020 15:22,182400,DRUGS-POSSESSION/MARIJUANA                        ,5247,CHIPPEWA ST,Drug Possession,38.5907427,-90.2668441
20-055027,12/6/2020 15:30,69702,LARCENY-ALL OTHER UNDER $500                      ,4132,UTAH ST,Larceny,38.5965049,-90.2365096
20-056079,12/6/2020 16:00,71013,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR           ,nan,,Motor Vehicle Theft,38.6270025,-90.1994042
20-055017,12/6/2020 16:00,63701,LARCENY-SHOPLIFT UNDER $500                       ,4255,HAMPTON AVE,Larceny,38.5989644,-90.2924434
20-055014,12/6/2020 16:09,265321,LEAVING SCENE OF ACCIDENT                         ,nan,LALITE AVE / MIMIKA AVE,Other Crime,38.7025916,-90.2590006
20-055018,12/6/2020 16:20,42011,AGG.ASSAULT-KNIFE/CITIZEN ADULT 1ST DEGREE        ,nan,ASHLAND AVE / FAIR AVE,Other Assault,38.6643514,-90.2304074
20-055016,12/6/2020 16:24,41013,AGG.ASSAULT-FIREARM/CITIZEN ADULT 3RD DEGREE      ,5532,TENNESSEE AVE,Aggravated Assault,38.5723927,-90.2496164
20-055019,12/6/2020 16:30,71013,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR           ,5032,S GRAND BLVD,Motor Vehicle Theft,38.598089,-90.2429759
20-055023,12/6/2020 16:30,241100,DISORDERLY CONDUCT-PEACE DSTRB/INDIVIDUAL         ,4848,SAN FRANCISCO AVE,Other Crime,38.6735444,-90.241748
20-055359,12/6/2020 16:30,67701,LARCENY-FROM BUILDING UNDER $500                  ,999,2ND,Larceny,38.6270025,-90.1994042
20-055082,12/6/2020 17:00,64601,"LARCENY-FROM MTR VEH $500 - $24,999               ",2011,RUSSELL,Larceny,38.6090184,-90.3529922
20-055028,12/6/2020 17:00,63701,LARCENY-SHOPLIFT UNDER $500                       ,4255,HAMPTON AVE,Larceny,38.5989644,-90.2924434
20-055020,12/6/2020 17:07,142320,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP       ,3709,MINNESOTA AVE,Destruction of Property,38.5733968,-90.2389319
20-055042,12/6/2020 17:10,41011,AGG.ASSAULT-FIREARM/CITIZEN ADULT 1ST DEGREE      ,4218,W KOSSUTH AVE,Aggravated Assault,38.670959,-90.2283457
20-055026,12/6/2020 17:20,265321,LEAVING SCENE OF ACCIDENT                         ,nan,DELMAR BLVD / N SKINKER BLVD,Other Crime,38.6513457,-90.2605364
20-055032,12/6/2020 17:30,91114,"ASSAULT, ADULT, AGE 17 AND UP-DOMESTIC            ",411,CAMELLIA AVE,Other Crime,38.6745671,-90.2366034
20-055032,12/6/2020 17:30,91114,"ASSAULT, ADULT, AGE 17 AND UP-DOMESTIC            ",411,CAMELLIA AVE,Other Crime,38.6745671,-90.2366034
20-055134,12/6/2020 18:00,65701,LARCENY-MTR VEH PARTS UNDER $500                  ,5724,CORONADO,Larceny,38.5665897,-90.2676761
20-055136,12/6/2020 18:00,65701,LARCENY-MTR VEH PARTS UNDER $500                  ,3928,DUNNICA,Larceny,38.587768,-90.2485653
20-055085,12/6/2020 18:18,64701,LARCENY-FROM MTR VEH UNDER $500                   ,15,OLIVE,Larceny,38.6270025,-90.1994042
20-055030,12/6/2020 18:18,142320,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP       ,4622,SACRAMENTO AVE,Destruction of Property,38.6733088,-90.2423629
20-055039,12/6/2020 18:22,103000,FORGERY-ISSUING FALSE INSTRUMENT OR CERTIFICAT    ,26,CHOUTEAU AVE,Other Crime,38.6237125,-90.2257213
20-055038,12/6/2020 18:24,130000,"STOLEN PROPERTY-BUYING,RECEIVING,POSSESSING,ET    ",4577,MCKINLEY AVE,Other Crime,38.6341034,-90.2617601
20-055036,12/6/2020 18:30,92000,SIMPLE ASSAULT-HARRASSMENT                        ,555,S GRAND BLVD,Simple Assault,38.598089,-90.2429759
20-055094,12/6/2020 18:30,51222,BURGLARY-RESIDENCE/NIT/UNLAW ENT/UNOCCUPIED       ,4158,BOTANICAL,Burglary,38.61133,-90.2679452
20-055155,12/6/2020 18:30,265321,LEAVING SCENE OF ACCIDENT                         ,nan,,Other Crime,38.6270025,-90.1994042
20-055034,12/6/2020 18:44,265321,LEAVING SCENE OF ACCIDENT                         ,nan,N 9TH ST / OLIVE ST,Other Crime,38.6288518,-90.1934914
20-055041,12/6/2020 18:46,265321,LEAVING SCENE OF ACCIDENT                         ,5018,N KINGSHIGHWAY BLVD,Other Crime,38.6688592,-90.2570703
20-055299,12/6/2020 19:00,64701,LARCENY-FROM MTR VEH UNDER $500                   ,2624,KINGSHIGHWAY,Larceny,38.6688592,-90.2570703
20-055047,12/6/2020 19:00,64601,"LARCENY-FROM MTR VEH $500 - $24,999               ",nan,N SPRING AVE / WESTMINSTER PL,Larceny,38.6385692,-90.2358696
20-055197,12/6/2020 19:00,64601,"LARCENY-FROM MTR VEH $500 - $24,999               ",nan,,Larceny,38.6270025,-90.1994042
20-055201,12/6/2020 19:00,51322,BURGLARY-RESDNCE/UNK TIM/UNLW EN/UNOCCUPIED       ,4445,LACLEDE,Burglary,38.6361116,-90.2418535
20-055043,12/6/2020 19:55,263299,OBSTRUCT GOVRN OP-JUDIC/OTHR UNSPC JUDIC VIOL     ,3105,BRANTNER PL,Other Crime,38.6456186,-90.222434
20-055087,12/6/2020 20:00,142320,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP       ,3,4TH,Destruction of Property,38.6270025,-90.1994042
20-055044,12/6/2020 20:00,36421,ROBBERY-COMMERCE PL/STRNGARM/NO INJ/SUCCESS       ,4318,DR MARTIN LUTHER KING DR,Robbery,38.6314715,-90.1830359
20-055045,12/6/2020 20:30,91113,SIMPLE ASSAULT-ADULT/NO INJURY                    ,102,LOUGHBOROUGH AVE,Simple Assault,38.5670302,-90.2796283
20-055147,12/6/2020 20:30,52330,BURGLARY-BUSINESS/UNK TIME/FORC ENT/OCCUPIED      ,3811,,Burglary,38.6270025,-90.1994042
20-055048,12/6/2020 20:30,266210,PUBLIC ORDER-DECEPTIVE BUSINESS PRACTICES         ,5621,CABANNE AVE,Other Crime,38.6579463,-90.2765841
20-055046,12/6/2020 20:45,64701,LARCENY-FROM MTR VEH UNDER $500                   ,nan,LAFAYETTE AVE / MISSISSIPPI AV,Larceny,38.6139881,-90.2141494
20-055049,12/6/2020 21:00,91114,"ASSAULT, ADULT, AGE 17 AND UP-DOMESTIC            ",3903,W BELLE PL,Other Crime,38.648807,-90.2439923
20-055050,12/6/2020 21:22,41011,AGG.ASSAULT-FIREARM/CITIZEN ADULT 1ST DEGREE      ,8909,GOODFELLOW BLVD,Aggravated Assault,38.6903366,-90.2695075
20-055422,12/6/2020 21:30,65601,"LARCENY-MTR VEH PARTS $500 - $24,999              ",8966,HALLS FERRY,Larceny,38.7365104,-90.2489828
20-055051,12/6/2020 21:58,41011,AGG.ASSAULT-FIREARM/CITIZEN ADULT 1ST DEGREE      ,nan,LABADIE AVE / N NEWSTEAD AVE,Aggravated Assault,38.6650932,-90.2398304
20-055051,12/6/2020 21:58,41011,AGG.ASSAULT-FIREARM/CITIZEN ADULT 1ST DEGREE      ,nan,LABADIE AVE / N NEWSTEAD AVE,Aggravated Assault,38.6650932,-90.2398304
20-055080,12/6/2020 22:00,71030,AUTO THEFT-PERM RETNT/JOY RIDE                    ,4906,ITASKA,Motor Vehicle Theft,38.5845498,-90.3146146
20-055202,12/6/2020 22:00,142320,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP       ,3822,KINGSHIGHWAY,Destruction of Property,38.6688592,-90.2570703
20-055123,12/6/2020 22:00,142320,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP       ,nan,,Destruction of Property,38.6270025,-90.1994042
20-055300,12/6/2020 22:00,65701,LARCENY-MTR VEH PARTS UNDER $500                  ,5401,GERALDINE,Larceny,38.6270025,-90.1994042
20-055290,12/6/2020 22:00,64601,"LARCENY-FROM MTR VEH $500 - $24,999               ",1627,WASHINGTON,Larceny,38.6487895,-90.3107962
20-055130,12/6/2020 22:00,265321,LEAVING SCENE OF ACCIDENT                         ,901,SPRUCE,Other Crime,38.6270025,-90.1994042
20-055106,12/6/2020 22:00,265321,LEAVING SCENE OF ACCIDENT                         ,4456,EVANS,Other Crime,38.6270025,-90.1994042
20-055061,12/6/2020 22:23,241100,DISORDERLY CONDUCT-PEACE DSTRB/INDIVIDUAL         ,4243,E SAN FRANCISCO AVE,Other Crime,38.6735444,-90.241748
20-055108,12/6/2020 22:30,71030,AUTO THEFT-PERM RETNT/JOY RIDE                    ,393,BOWEN,Motor Vehicle Theft,38.6376907,-90.2654519
20-055089,12/6/2020 22:30,51322,BURGLARY-RESDNCE/UNK TIM/UNLW EN/UNOCCUPIED       ,4167,FLAD,Burglary,38.6125047,-90.2527793
20-055062,12/6/2020 22:30,265321,LEAVING SCENE OF ACCIDENT                         ,19,HAMPTON AVE,Other Crime,38.5989644,-90.2924434
20-055052,12/6/2020 22:30,38111,ROBBERY CARJACKING /FIREARM USED/SUCCESSFUL       ,11,N 17TH ST,Armed Robbery,38.6377002,-90.2017312
20-055114,12/6/2020 23:00,71013,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR           ,2906,HEBERT,Motor Vehicle Theft,38.726092,-90.3520087
20-055054,12/6/2020 23:00,142320,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP       ,6336,S GRAND BLVD,Destruction of Property,38.598089,-90.2429759
20-055058,12/6/2020 23:20,38111,ROBBERY CARJACKING /FIREARM USED/SUCCESSFUL       ,303,UNION BLVD,Armed Robbery,38.6717171,-90.263532
20-057017,12/7/2020 0:00,51312,BURGLARY-RESDNCE/UNK TIM/FORC ENT/UNOCCUPIED      ,3919,ALBERTA,Burglary,38.6270025,-90.1994042
20-055204,12/7/2020 0:01,21000,RAPE -- FORCIBLE                                  ,35,,Rape,38.6270025,-90.1994042
20-055176,12/7/2020 0:01,65601,"LARCENY-MTR VEH PARTS $500 - $24,999              ",539,MARTIN LUTHER KING,Larceny,38.6270025,-90.1994042
20-055059,12/7/2020 0:04,265321,LEAVING SCENE OF ACCIDENT                         ,nan,ELLIOTT AVE / SULLIVAN AVE,Other Crime,38.6564073,-90.2143063
20-055063,12/7/2020 0:30,266510,PUBLIC ORDER-TRESPASSING                          ,3834,CHIPPEWA,Other Crime,38.6270025,-90.1994042
20-055161,12/7/2020 1:00,64601,"LARCENY-FROM MTR VEH $500 - $24,999               ",92,TAYLOR,Larceny,38.6270025,-90.1994042
20-055065,12/7/2020 1:17,142320,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP       ,4107,OREGON AVE,Destruction of Property,38.5921991,-90.2315476
20-055067,12/7/2020 1:18,10000,HOMICIDE                                          ,1113,SALISBURY ST,Homicide,38.6605573,-90.2014369
20-055070,12/7/2020 1:30,64711,LARCENY-FROM MTR VEH UNDER $500  /ATTEMPT         ,3,N 4TH ST,Larceny,38.6297352,-90.1870055
20-055069,12/7/2020 2:24,41011,AGG.ASSAULT-FIREARM/CITIZEN ADULT 1ST DEGREE      ,4974,PARKER AVE,Aggravated Assault,38.5983478,-90.268396
20-055071,12/7/2020 3:25,142320,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP       ,92,S. TAYLOR,Destruction of Property,38.6270025,-90.1994042
20-055078,12/7/2020 4:00,130000,"STOLEN PROPERTY-BUYING,RECEIVING,POSSESSING,ET    ",331,ITASKA,Other Crime,38.5845498,-90.3146146
20-055075,12/7/2020 4:00,52212,BURGLARY-BUSINESS/NIT/FORCE ENT/UNOCCUPIE         ,3505,SPRING,Burglary,38.6270025,-90.1994042
20-055076,12/7/2020 4:30,32111,ROBBERY-RESIDENCE/FIREARM USED/SUCCESSFUL         ,4327,OSCEOLA,Weapons Offense,38.6270025,-90.1994042
20-055090,12/7/2020 5:00,142320,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP       ,4303,STRODTMAN,Destruction of Property,38.6685439,-90.2084023
20-055074,12/7/2020 5:10,142320,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP       ,4355,BROADWAY,Destruction of Property,38.5431081,-90.262614
20-055077,12/7/2020 5:30,42015,ASSLT-AGGRV-KNIFE/CUT-2ND-ADULT-DOMESTIC          ,1437,TEMPLE,Other Assault,38.6395816,-90.4649308
20-055164,12/7/2020 6:00,71013,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR           ,nan,,Motor Vehicle Theft,38.6270025,-90.1994042
20-055093,12/7/2020 6:00,142320,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP       ,2617,14TH,Destruction of Property,38.6270025,-90.1994042
20-055081,12/7/2020 7:00,71013,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR           ,4417,DONOVAN,Motor Vehicle Theft,38.6270025,-90.1994042
20-055083,12/7/2020 7:15,265321,LEAVING SCENE OF ACCIDENT                         ,nan,,Other Crime,38.6270025,-90.1994042
20-055146,12/7/2020 7:45,51122,BURGLARY-RESIDENCE/DAY/UNLAW ENT/UNOCCUPIED       ,41,FLORA,Burglary,38.6270025,-90.1994042
20-056378,12/7/2020 8:00,103000,FORGERY-ISSUING FALSE INSTRUMENT OR CERTIFICAT    ,6737,DEVONSHIRE,Other Crime,38.6411398,-90.2651091
